Name,Address,University,BusinessType,Neighborhood,City,State,NumRatings,Rating,Latitude,Longitude
El Gallo Giro,701 E Jefferson Blvd South East LA Los Angeles CA 90011,'University of Southern California','Mexican' 'Restaurants','South East LA',Los Angeles,CA,3,4,34.015521,-118.26453
TJ Maxx,455 S Lake Ave Pasadena Pasadena CA 91101,'California Institute of Technology','Department Stores' 'Fashion' 'Shopping','Pasadena',Pasadena,CA,10,4.5,34.13802338,-118.1324463
Palm Theatre,817 Palm St San Luis Obispo CA 93401,'California Polytechnic State University','Arts & Entertainment' 'Cinema',,San Luis Obispo,CA,81,4.5,35.2815383,-120.6638967
The 201,201 Westminster St DownCity Providence RI 02903,'Brown University','Nightlife','DownCity',Providence,RI,2,4.5,41.8234485,-71.4121495
Springfield Beer Distributor,600 Schuylkill Ave Graduate Hospital Philadelphia PA 19146,'University of Pennsylvania','Food' 'Beer Wine & Spirits','Graduate Hospital',Philadelphia,PA,11,4,39.945448,-75.1856104
Milano Market,2892 Broadway Morningside Heights New York NY 10025,'Columbia University','Food' 'Grocery' 'Delis' 'Restaurants','Morningside Heights',New York,NY,76,4,40.805698,-73.9652725
Ithaca College,953 Danby Rd Ithaca NY 14850,'Cornell University','Colleges & Universities' 'Education',,Ithaca,NY,5,5,42.422134,-76.5000327
Buy the Book,1538 Main St Lafayette IN 47905,'Purdue University','Food' 'Shopping' 'Books Mags Music and Video' 'Internet Cafes' 'Bookstores',,Lafayette,IN,3,3,40.417601,-86.878051
Enterprise Rent-A-Car,1690 W Foothill Blvd Upland CA 91786,'Harvey Mudd College','Hotels & Travel' 'Car Rental',,Upland,CA,7,1,34.105888,-117.68282
Urban Jewelers,215 S Main St Downtown Ann Arbor Ann Arbor MI 48104,'University of Michigan - Ann Arbor','Shopping' 'Jewelry','Downtown Ann Arbor',Ann Arbor,MI,3,4,42.2799232,-83.7484321
T & K's Soul Food Kitchen,305 N Craig St Oakland Pittsburgh PA 15213,'Carnegie Mellon University','Soul Food' 'Restaurants','Oakland',Pittsburgh,PA,6,4,40.45204,-79.952323
Sullo & Sullo LLP,2020 Southwest Fwy Museum District Houston TX 77098,'Rice University','Professional Services' 'Lawyers','Museum District',Houston,TX,7,3,29.7314451,-95.410316
Avidity Restaurant Ultra Lounge,133 N 4th St Lafayette IN 47901,'Purdue University','Bars' 'American (New)' 'Nightlife' 'Lounges' 'Restaurants',,Lafayette,IN,6,3,40.41846249,-86.88674927
Campus Cruiser at USC,University Park Campus South Los Angeles Los Angeles CA 90089,'University of Southern California','Local Services' 'Automotive','South Los Angeles',Los Angeles,CA,7,4,34.0202738,-118.2884738
LA Bicycles,3219 Hoover St South Los Angeles Los Angeles CA 90007,'University of Southern California','Sporting Goods' 'Bikes' 'Shopping','South Los Angeles',Los Angeles,CA,33,3,34.0256925,-118.2839517
HuHot Mongolian Grill,The Pavillions 100 S Creasy Lane Lafayette IN 47905,'Purdue University','Mongolian' 'Restaurants',,Lafayette,IN,5,3.5,40.4165649,-86.84244
Kyrouac Jeffrey MD,602 W University Ave Urbana IL 61801,'University of Illinois - Urbana-Champaign','Doctors' 'Health and Medical' 'Internal Medicine',,Urbana,IL,3,5,40.116792,-88.214384
Puccini Hair Design,237 Atwood St Oakland Pittsburgh PA 15213,'Carnegie Mellon University','Hair Salons' 'Tanning' 'Beauty and Spas','Oakland',Pittsburgh,PA,11,4,40.4402973,-79.9564375
Sharon's Hair Salon,84 Massachusetts Ave Kendall Square/MIT Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University',,'Kendall Square/MIT',Cambridge,MA,3,4,42.359145,-71.093874
Srida Thai Cuisine,922 N Central Ave Upland CA 91786,'Harvey Mudd College','Thai' 'Restaurants',,Upland,CA,32,4,34.1054373,-117.6896847
Mehak Cuisine,410 Eddy St Ithaca NY 14850,'Cornell University','Indian' 'Restaurants',,Ithaca,NY,14,3.5,42.4420028,-76.4875033
Rocky Mountain Pizza Company,1005 Hemphill Ave NW Georgia Tech Atlanta GA 30318,'Georgia Institute of Technology','Nightlife' 'Bars' 'Pizza' 'Sports Bars' 'Restaurants','Georgia Tech' 'Westside / Home Park',Atlanta,GA,93,3,33.7819259,-84.4043175
Khalil's,4757 Baum Blvd Bloomfield Pittsburgh PA 15213,'Carnegie Mellon University','Mediterranean' 'Restaurants','Bloomfield',Pittsburgh,PA,3,3.5,40.4543642,-79.9481151
Papa John's Pizza,607 W Franklin St Chapel Hill NC 27516,'University of North Carolina - Chapel Hill','Italian' 'Pizza' 'Restaurants',,Chapel Hill,NC,3,3.5,35.9117188,-79.059954
Kendall Hotel,350 Main St Kendall Square/MIT Cambridge MA 02142,'Massachusetts Institute of Technology' 'Harvard University','Hotels & Travel' 'Event Planning & Services' 'Hotels','Kendall Square/MIT',Cambridge,MA,37,4,42.3624135,-71.0872825
Svntn Below,2163 Frederick Douglass Blvd Harlem New York NY 10026,'Columbia University','Bars' 'American (New)' 'Nightlife' 'Lounges' 'Restaurants','Harlem',New York,NY,4,3,40.804769,-73.9551352
A New Leaf,135 Gano St Providence RI 02906,'Brown University','Shopping' 'Flowers & Gifts' 'Nurseries & Gardening' 'Florists' 'Home & Garden',,Providence,RI,3,4.5,41.8232588,-71.3898962
Parthenon Greek American Grill,Cortez & US 52 West Lafayette IN 47906,'Purdue University','Greek' 'Mediterranean' 'Restaurants',,West Lafayette,IN,22,3.5,40.4676551,-86.9425982
Google Inc,5 Cambridge Ctr Ste 5 Kendall Square/MIT Cambridge MA 02142,'Massachusetts Institute of Technology' 'Harvard University',,'Kendall Square/MIT',Cambridge,MA,2,3,42.362913,-71.087481
Daryl Hoffman MD,805 El Camino Real Ste A Palo Alto CA 94301,'Stanford University','Doctors' 'Health and Medical' 'Cosmetic Surgeons',,Palo Alto,CA,9,4,37.4390853,-122.1617321
LensCrafters,2148 Montclair Plaza Lane Montclair CA 91763,'Harvey Mudd College','Shopping' 'Eyewear & Opticians',,Montclair,CA,6,3.5,34.088005,-117.6963732
Cubberley Cafe,Cubberley Education Building 485 Lasuen Mall Stanford CA 94305,'Stanford University','Cafes' 'Sandwiches' 'Restaurants',,Stanford,CA,10,3.5,37.426398,-122.16836
Lawrence Animal Hospital,3975 Princeton Pike Princeton NJ 08540,'Princeton University','Veterinarians' 'Pets',,Princeton,NJ,2,1,40.308024,-74.696927
The Back Abbey,128 N Oberlin Ave Claremont CA 91711,'Harvey Mudd College','Burgers' 'Gastropubs' 'Restaurants',,Claremont,CA,756,4,34.0948841,-117.7206854
UCLA Ackerman Grand Ballroom,308 Westwood Plz Westwood Los Angeles CA 90095,'University of California - Los Angeles','Event Planning & Services' 'Party & Event Planning','Westwood',Los Angeles,CA,2,5,34.07047129,-118.4440595
1020 Bar,1020 Amsterdam Ave Morningside Heights New York NY 10025,'Columbia University','Dive Bars' 'Bars' 'Nightlife','Morningside Heights',New York,NY,66,3.5,40.803379,-73.964007
Art Bar,171 Chestnut St DownCity Providence RI 02903,'Brown University','Nightlife','DownCity',Providence,RI,3,2,41.8178406,-71.4095667
EveryWing's Good,8145 Baltimore Ave College Park MD 20740,'University of Maryland - College Park','Chicken Wings' 'Restaurants',,College Park,MD,3,4.5,38.990908,-76.932757
Cafe 3,2400 Durant Ave Telegraph Ave Berkeley CA 94701,'University of California at Berkeley','Cafes' 'Restaurants','Telegraph Ave' 'UC Campus Area',Berkeley,CA,9,2,37.867417,-122.260408
Actors Headshots Los Angeles,2222 S Figueroa South Los Angeles Los Angeles CA 90007,'University of Southern California','Photographers' 'Event Planning & Services','South Los Angeles',Los Angeles,CA,2,5,34.030769,-118.273641
Ramada Inn-Ithaca-Airport,2310 N Triphammer Rd Ithaca NY 14850,'Cornell University','Hotels & Travel' 'Restaurants' 'Event Planning & Services' 'Hotels',,Ithaca,NY,10,2.5,42.4827916,-76.4858911
Atlantis,41 Boltwood Walk Amherst MA 01002,'University of Massachusetts - Amherst',,,Amherst,MA,2,5,42.376184,-72.5188285
The Bauer Bakery & Cafe,187 King Street South Waterloo ON N2J 1R1,'University of Waterloo','Food' 'Coffee & Tea' 'Cafes' 'Restaurants',,Waterloo,ON,2,3.5,43.4593947,-80.5190295
Gameday Sports,519 E Green St Champaign IL 61820,'University of Illinois - Urbana-Champaign','Sporting Goods' 'Fashion' 'Shopping' 'Sports Wear',,Champaign,IL,2,3,40.110056,-88.230618
The Clothesline,402 Maynard St Ann Arbor MI 48104,'University of Michigan - Ann Arbor','Local Services' 'Dry Cleaning & Laundry',,Ann Arbor,MI,6,3.5,42.2775947,-83.7420748
Sweat Fitness,200 S 24th St Rittenhouse Square Philadelphia PA 19103,'University of Pennsylvania','Active Life' 'Gyms' 'Trainers' 'Fitness & Instruction','Rittenhouse Square' 'Penn Center',Philadelphia,PA,18,2.5,39.9511559,-75.1795506
Tasty Bagel Cafe,911 W Foothill Blvd Claremont CA 91711,'Harvey Mudd College','Food' 'Bagels',,Claremont,CA,3,4.5,34.1071258,-117.7314746
Spa Connections,Westwood Los Angeles CA 90024,'University of California - Los Angeles','Day Spas' 'Nail Salons' 'Massage' 'Beauty and Spas','Westwood',Los Angeles,CA,4,3.5,34.0631451,-118.4367551
Death Wish Piano Movers,Central Square Cambridge MA 02238,'Massachusetts Institute of Technology' 'Harvard University','Movers' 'Home Services','Central Square',Cambridge,MA,5,4,42.3669,-71.1002
UCLA Medical Center Cafeteria,10833 Le Conte Avenue Westwood Los Angeles CA 90095,'University of California - Los Angeles','Delis' 'Restaurants','Westwood',Los Angeles,CA,12,3.5,34.0660655,-118.4419674
Douglas Ng DDS,862 Meinecke Ave Ste 203 San Luis Obispo CA 93405,'California Polytechnic State University','Dentists' 'Health and Medical',,San Luis Obispo,CA,12,5,35.292989,-120.66887
Jasmine Thai,1805 Euclid Ave UC Campus Area Berkeley CA 94709,'University of California at Berkeley','Thai' 'Restaurants','UC Campus Area',Berkeley,CA,52,3,37.8759615,-122.2602981
Momoca,2447 Dwight Way Telegraph Ave Berkeley CA 94704,'University of California at Berkeley',"u""Women's Clothing"" 'Fashion' 'Shopping'",'Telegraph Ave' 'UC Campus Area',Berkeley,CA,10,4.5,37.865097,-122.2587345
University Ave Barbershop,4219 University Way NE University District Seattle WA 98105,'University of Washington','Barbers' 'Beauty and Spas','University District',Seattle,WA,16,4,47.6589156,-122.3133414
Red Roof Inns,9050 Lanham Severn Rd Hyattsville MD 20781,'University of Maryland - College Park','Hotels & Travel' 'Event Planning & Services' 'Hotels',,Hyattsville,MD,2,1,38.9559442,-76.9455301
Hot Dogs & Brew,169 E Franklin St Chapel Hill NC 27514,'University of North Carolina - Chapel Hill','Gastropubs' 'Restaurants' 'Hot Dogs',,Chapel Hill,NC,2,5,35.91402054,-79.05358887
Wish Salon,120 Governor St Providence RI 02906,'Brown University','Hair Salons' 'Beauty and Spas',,Providence,RI,3,3.5,41.824758,-71.394159
Alexi's Diner,294 N Greenbush Rd Troy NY 12180,'Rensselaer Polytechnic Institute','Breakfast & Brunch' 'Diners' 'Restaurants',,Troy,NY,24,3.5,42.679212,-73.691
Pho D'Lite,8147 Baltimore Ave College Park MD 20740,'University of Maryland - College Park','Asian Fusion' 'Restaurants',,College Park,MD,10,4,38.9913538,-76.9335627
Savvy Properties,2333 Channing Way Ste 34 UC Campus Area Berkeley CA 94704,'University of California at Berkeley','Property Management' 'Home Services' 'Real Estate' 'Apartments','UC Campus Area',Berkeley,CA,7,4,37.866781,-122.262048
Hyattsville Library,6530 Adelphi Rd Hyattsville MD 20782,'University of Maryland - College Park','Libraries' 'Public Services & Government',,Hyattsville,MD,2,3.5,38.969253,-76.949652
Love Balls,2906 Fruth St University of Texas Austin TX 78705,'University of Texas - Austin','Food Stands' 'Japanese' 'Restaurants','University of Texas',Austin,TX,96,4,30.295368,-97.742054
Community Food & Juice,2893 Broadway Morningside Heights New York NY 10025,'Columbia University','Breakfast & Brunch' 'American (New)' 'Restaurants','Morningside Heights',New York,NY,346,3.5,40.80579758,-73.96567535
Iron Post,120 S Race St Urbana IL 61801,'University of Illinois - Urbana-Champaign','Bars' 'Nightlife',,Urbana,IL,14,3,40.1118394,-88.2089281
Hon Sushi,3349 US Highway 1 Lawrence Township NJ 08648,'Princeton University',,,Lawrence Township,NJ,2,4,40.294505,-74.683025
Jj Land Co,5738 Baum Blvd East Liberty Pittsburgh PA 15206,'Carnegie Mellon University','Home Services' 'Real Estate' 'Apartments','East Liberty',Pittsburgh,PA,4,3,40.458694,-79.932405
Red Oak Diner & Bakery,1217 US Hwy 206 N Princeton NJ 08540,'Princeton University','Diners' 'Restaurants',,Princeton,NJ,9,3.5,40.400431,-74.6510141
Papyrus,2551 Amherst Dr West University Houston TX 77005,'Rice University','Cards & Stationery' 'Arts & Crafts' 'Flowers & Gifts' 'Shopping' 'Event Planning & Services','West University',Houston,TX,3,4.5,29.7157726,-95.4175217
Ned's Pizza,840 Hanshaw Rd Ste 2 Ithaca NY 14850,'Cornell University','Pizza' 'Restaurants',,Ithaca,NY,4,4.5,42.469234,-76.478911
Bunny's Tavern,119 W Water St Urbana IL 61801,'University of Illinois - Urbana-Champaign','Dive Bars' 'Bars' 'American (Traditional)' 'Nightlife' 'Restaurants',,Urbana,IL,13,4,40.1132,-88.208287
Depot Barber Shop the,116 N Chestnut St Champaign IL 61820,'University of Illinois - Urbana-Champaign','Barbers' 'Beauty and Spas',,Champaign,IL,2,4.5,40.116715,-88.240606
Princeton University Art Museum,Princeton NJ 08544,'Princeton University','Arts & Entertainment' 'Art Galleries' 'Shopping',,Princeton,NJ,12,4.5,40.3410101,-74.6561453
Econo Lodge Ithaca,2303 N Triphammer Rd Ithaca NY 14850,'Cornell University','Hotels & Travel' 'Event Planning & Services' 'Hotels',,Ithaca,NY,6,1,42.482006,-76.4825199
Crossroads Cigars,604 Columbia St Lafayette IN 47901,'Purdue University','Tobacco Shops' 'Shopping',,Lafayette,IN,2,4,40.4182394,-86.8903486
Drinker's West,3900 Chestnut St University City Philadelphia PA 19104,'University of Pennsylvania','Bars' 'Sports Bars' 'Nightlife' 'Gastropubs' 'Tex-Mex' 'Restaurants','University City',Philadelphia,PA,61,3.5,39.9549304,-75.2001318
20 Toes Cat Sitting,Albany NY 12198,'Rensselaer Polytechnic Institute','Pet Services' 'Pets',,Albany,NY,3,5,42.6762253,-73.6418473
Chassom Tea Salon,1005 E Green St Pasadena Pasadena CA 91106,'California Institute of Technology','Food' 'Doctors' 'Health and Medical' 'Naturopathic/Holistic' 'Tea Rooms','Pasadena',Pasadena,CA,4,5,34.1445837,-118.1293325
Moses Falafel,610 W Martin Luther King Jr Blvd West Campus Austin TX 78705,'University of Texas - Austin','Food' 'Street Vendors','West Campus' 'University of Texas',Austin,TX,18,4.5,30.282815,-97.744746
Thomas H Lange DDS,8950 Villa La Jolla Dr Ste A-105 La Jolla CA 92037,'University of California - San Diego','Health and Medical' 'Dentists' 'General Dentistry' 'Cosmetic Dentists',,La Jolla,CA,6,4.5,32.870427,-117.234507
Jouni's Cafe,922 N Central Ave Upland CA 91786,'Harvey Mudd College','Cafes' 'Restaurants',,Upland,CA,2,4.5,34.1054373,-117.6896847
Gene Juarez Salons & Spas,2684 NE 49th St University District Seattle WA 98105,'University of Washington','Hair Salons' 'Day Spas' 'Massage' 'Beauty and Spas','University District',Seattle,WA,29,4,47.6644158,-122.300918
Fractured Prune,7313 Baltimore Ave College Park MD 20740,'University of Maryland - College Park','Food' 'Donuts',,College Park,MD,5,4,38.97974,-76.937606
Ithaca Falls,Ithaca NY,'Cornell University','Local Flavor',,Ithaca,NY,4,4.5,42.45288,-76.49167
Ashline Moving & Storage Co,632 3rd Ave Watervliet NY 12189,'Rensselaer Polytechnic Institute','Movers' 'Home Services',,Watervliet,NY,2,3,42.7138965,-73.7065197
University Press Books,2430 Bancroft Way Telegraph Ave Berkeley CA 94704,'University of California at Berkeley','Books Mags Music and Video' 'Shopping' 'Bookstores','Telegraph Ave' 'UC Campus Area',Berkeley,CA,16,4.5,37.8684357,-122.2606859
Staples the Office Superstore,742 S Meadow St Ithaca NY 14850,'Cornell University','Local Services' 'Printing Services' 'Shopping' 'Office Equipment',,Ithaca,NY,2,2,42.4321656,-76.5080426
Locust On the Park,201 S 25th St Apt 604 Rittenhouse Square Philadelphia PA 19103,'University of Pennsylvania','Home Services' 'Real Estate' 'Apartments','Rittenhouse Square' 'Fitler Square',Philadelphia,PA,2,1,39.9503209,-75.1816642
Beltway Plaza Hardware,6210 Greenbelt Rd Greenbelt MD 20770,'University of Maryland - College Park','Hardware Stores' 'Shopping' 'Home & Garden',,Greenbelt,MD,2,4.5,38.9971722,-76.9068399
Currito,203 N 34th St Powelton Village Philadelphia PA 19104,'University of Pennsylvania','Fast Food' 'Restaurants','Powelton Village',Philadelphia,PA,8,3,39.95915,-75.190296
UCSD Rimac Arena,9500 Gilman Dr San Diego CA 92037,'University of California - San Diego','Music Venues' 'Arts & Entertainment' 'Event Planning & Services' 'Venues & Event Spaces' 'Nightlife',,San Diego,CA,16,2.5,32.877065,-117.2379299
Flipp Salon & Apothecary,38 Transit St Fox Point Providence RI 02903,'Brown University','Hair Salons' 'Skin Care' 'Beauty and Spas','Fox Point',Providence,RI,13,5,41.8203303,-71.4025661
Big Lots,120 Hoosick St Troy NY 12180,'Rensselaer Polytechnic Institute','Department Stores' 'Fashion' 'Shopping' 'Shopping Centers',,Troy,NY,3,4,42.739482,-73.6791045
Pinkberry,2873 Broadway Morningside Heights New York NY 10025,'Columbia University','Food' 'Ice Cream & Frozen Yogurt','Morningside Heights',New York,NY,53,3.5,40.8053032,-73.9660115
Crepes de Paris,540 W 1st St Claremont CA 91711,'Harvey Mudd College','Creperies' 'Restaurants',,Claremont,CA,6,4,34.09446716,-117.7213898
Precision Piercing,533 10th St NW Georgia Tech Atlanta GA 30318,'Georgia Institute of Technology','Tattoo' 'Piercing' 'Beauty and Spas','Georgia Tech' 'Westside / Home Park',Atlanta,GA,3,5,33.7815618,-84.4054538
Biltmore Communications,817 W Peachtree Street NW Midtown Atlanta GA 30308,'Georgia Institute of Technology',,'Midtown',Atlanta,GA,2,2.5,33.7769608,-84.3871398
Spencer Gifts,2415 Sagamore Pkwy S Lafayette IN 47905,'Purdue University',,,Lafayette,IN,2,4.5,40.3936266,-86.8518913
Sei Bella Salon,59B Boltwood Walk Amherst MA 01002,'University of Massachusetts - Amherst','Hair Salons' 'Nail Salons' 'Hair Removal' 'Beauty and Spas',,Amherst,MA,4,5,42.376581,-72.5187519
roba!dolce,178 Angell St College Hill Providence RI 02918,'Brown University','Food' 'Ice Cream & Frozen Yogurt' 'Coffee & Tea','College Hill',Providence,RI,5,2,41.8281263,-71.4006111
ZO Skin Health Pasadena,120 S Lake Ave Pasadena Pasadena CA 91101,'California Institute of Technology','Skin Care' 'Medical Spas' 'Health and Medical' 'Beauty and Spas','Pasadena',Pasadena,CA,3,5,34.143731,-118.131846
Dunn-Edwards Paints,2001 S Hoover Street South Los Angeles Los Angeles CA 90007,'University of Southern California',,'South Los Angeles',Los Angeles,CA,2,4,34.037829,-118.284472
Sonrisa,2614 NE 46th St University Village University District Seattle WA 98105,'University of Washington','Tex-Mex' 'Restaurants','University District',Seattle,WA,120,3,47.6617333,-122.2992767
Sole Restaurant & Wine Bar,83 Erb St W Waterloo ON N2L 6C2,'University of Waterloo','Bars' 'Greek' 'Mediterranean' 'Wine Bars' 'Nightlife' 'Restaurants',,Waterloo,ON,6,4,43.463366,-80.5273068
Mosaic at Metro,6210 Belcrest Rd Hyattsville MD 20782,'University of Maryland - College Park','Home Services' 'Real Estate' 'Apartments',,Hyattsville,MD,3,1.5,38.964514,-76.953446
Cafe Mattina,2442 Telegraph Ave Telegraph Ave Berkeley CA 94704,'University of California at Berkeley','Sandwiches' 'Restaurants','Telegraph Ave' 'UC Campus Area',Berkeley,CA,163,4,37.8661098,-122.2586637
Pesaro's Pizza,4635 Centre Ave Oakland Pittsburgh PA 15213,'Carnegie Mellon University','Pizza' 'Restaurants','Oakland',Pittsburgh,PA,2,3,40.4523237,-79.9507118
Sand Point Internists,4915 25th Ave NE Ste 301 University District Seattle WA 98105,'University of Washington','Doctors' 'Health and Medical' 'Internal Medicine','University District',Seattle,WA,2,1.5,47.6651049,-122.301816
Sunrise Diner,501 Columbia St Lafayette IN 47901,'Purdue University','Diners' 'Restaurants',,Lafayette,IN,21,3.5,40.418049,-86.891641
Panzanella,Carr Mill Mall Carrboro NC 27510,'University of North Carolina - Chapel Hill','Breakfast & Brunch' 'Pizza' 'Restaurants',,Carrboro,NC,47,3.5,35.91157196,-79.07187592
Ron Brunick DDS,956 Walnut St San Luis Obispo CA 93401,'California Polytechnic State University','Oral Surgeons' 'Dentists' 'Health and Medical',,San Luis Obispo,CA,2,5,35.284829,-120.665139
WREK Radio Station,350 Ferst Dr Georgia Tech Atlanta GA 30332,'Georgia Institute of Technology','Mass Media' 'Radio Stations','Georgia Tech',Atlanta,GA,8,4.5,33.7734038,-84.3992496
Lounjin,4527 University Way NE University District Seattle WA 98105,'University of Washington','Coffee & Tea' 'Bars' 'Food' 'Japanese' 'Nightlife' 'Restaurants','University District',Seattle,WA,15,4,47.6621044,-122.3131101
MIT Museum,265 Massachusetts Ave Kendall Square/MIT Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Museums' 'Arts & Entertainment','Kendall Square/MIT',Cambridge,MA,67,4,42.3618052,-71.0976636
Earl Scheib Auto Paint Body Collision,2130 S Vermont Ave South Los Angeles Los Angeles CA 90007,'University of Southern California','Auto Repair' 'Automotive','South Los Angeles',Los Angeles,CA,3,3.5,34.036226,-118.291235
Banh Mi Saigon,206 Russell St Hadley MA 01035,'University of Massachusetts - Amherst','Restaurants' 'Vietnamese',,Hadley,MA,30,4.5,42.3445618,-72.5778732
Penn Dental Center at University City,3401 Market Street Powelton Village Philadelphia PA 19104,'University of Pennsylvania','Dentists' 'Health and Medical','Powelton Village' 'University City',Philadelphia,PA,2,4.5,39.9558626,-75.1914835
OmZappy,1409 NE 45th St University District Seattle WA 98105,'University of Washington',"u""Women's Clothing"" 'Fashion' 'Shopping' 'Jewelry'",'University District',Seattle,WA,6,5,47.6612115,-122.3126854
The BoatYard Grill,525 Taughannock Blvd Ithaca NY 14850,'Cornell University','Seafood' 'American (Traditional)' 'Restaurants',,Ithaca,NY,44,3,42.445768,-76.512604
Wingard Salon,805 S Neil St Champaign IL 61820,'University of Illinois - Urbana-Champaign','Hair Salons' 'Nail Salons' 'Beauty and Spas',,Champaign,IL,3,3.5,40.1066266,-88.243435
Mama Ganache Artisan Chocolates,1445 Monterey St San Luis Obispo CA 93401,'California Polytechnic State University','Specialty Food' 'Food' 'Chocolatiers and Shops',,San Luis Obispo,CA,16,4.5,35.2856762,-120.6552358
Romantix,1747 W Foothill Blvd Upland CA 91786,'Harvey Mudd College','Flowers & Gifts' 'Shopping',,Upland,CA,2,2,34.1068801,-117.6870301
Creative Loafing,384 Northyards Blvd NW Atlanta GA 30313,'Georgia Institute of Technology','Print Media' 'Mass Media',,Atlanta,GA,6,3,33.7678353,-84.3998161
All In One Jewelry Experts,10 Prospect St Central Square Cambridge MA 02238,'Massachusetts Institute of Technology' 'Harvard University','Shopping' 'Jewelry','Central Square',Cambridge,MA,4,2,42.3658266,-71.1037261
The Venue On Guadalupe,2815 Guadalupe St West Campus Austin TX 78705,'University of Texas - Austin','Home Services' 'Real Estate' 'Apartments','West Campus' 'University of Texas',Austin,TX,6,3,30.294209,-97.74206
Yummyaki Japanese Restaurant,55 Northfield Dr E Waterloo ON N2K 3T6,'University of Waterloo','Japanese' 'Restaurants',,Waterloo,ON,6,4,43.5034294,-80.5284966
Berwyn Cafe,5010 Berwyn Rd College Park MD 20740,'University of Maryland - College Park','Vegetarian' 'Restaurants',,College Park,MD,22,4,38.994807,-76.9258282
